Time_d	TIME	Height	Neck Radius	Neck_Height	Pinch_Diax	Pinch_Diay	Pinch_Dia_Avg	Pinch_Height
8.38582e-08	0.0001	3.49996	0.0917797	2.50667	3	1	-4.50433	-1.75216	8.00428
1.67716e-07	0.0002	3.49996	0.0928883	2.50667	3	1	-4.50433	-1.75216	8.00428
2.51575e-07	0.0003	3.49996	0.0939027	2.50667	3	1	-4.50433	-1.75216	8.00428
3.35433e-07	0.0004	3.49996	0.0948259	2.50667	3	1	-4.50433	-1.75216	8.00428
4.19291e-07	0.0005	3.49996	0.0954326	2.50667	3	1	-4.50433	-1.75216	8.00428
5.03149e-07	0.0006	3.49996	0.0960023	2.50667	3	0.999999	-4.50433	-1.75216	8.00428
5.87007e-07	0.0007	3.49996	0.0966524	2.50667	3	0.999999	-4.50433	-1.75216	8.00428
6.70866e-07	0.0008	3.49996	0.098348	2.50667	3	0.999999	-4.50433	-1.75216	8.00428
7.54724e-07	0.0009	3.49996	0.0989482	2.50667	3	0.999999	-4.50432	-1.75216	8.00428
8.38582e-07	0.001	3.49996	0.0994365	2.50667	3	0.999998	-4.50432	-1.75216	8.00428
9.2244e-07	0.0011	3.49996	0.0998853	2.50667	3	0.999998	-4.50432	-1.75216	8.00428
1.0063e-06	0.0012	3.49996	0.100611	2.50667	3	0.999997	-4.50432	-1.75216	8.00428
1.09016e-06	0.0013	3.49996	0.101431	2.50667	3	0.999997	-4.50432	-1.75216	8.00428
1.17401e-06	0.0014	3.49996	0.102205	2.50667	3	0.999996	-4.50433	-1.75216	8.00428
1.25787e-06	0.0015	3.49996	0.102921	2.50667	3	0.999996	-4.50433	-1.75216	8.00428
1.34173e-06	0.0016	3.49996	0.104706	2.50667	3	0.999995	-4.50433	-1.75217	8.00428
1.42559e-06	0.0017	3.49996	0.105467	2.50667	3	0.999994	-4.50433	-1.75217	8.00428
1.50945e-06	0.0018	3.49996	0.105898	2.50667	3	0.999993	-4.50433	-1.75217	8.00428
1.59331e-06	0.0019	3.49996	0.106333	2.50667	3	0.999992	-4.50433	-1.75217	8.00428
1.67716e-06	0.002	3.49996	0.106988	2.50667	3	0.999991	-4.50433	-1.75217	8.00428
1.76102e-06	0.0021	3.49995	0.10822	2.50667	3	0.99999	-4.50433	-1.75217	8.00428
1.84488e-06	0.0022	3.49995	0.109219	2.50667	3	0.999989	-4.50433	-1.75217	8.00428
1.92874e-06	0.0023	3.49995	0.111493	2.50667	3	0.999988	-4.50433	-1.75217	8.00428
2.0126e-06	0.0024	3.49995	0.112286	2.50667	3	0.999987	-4.50433	-1.75217	8.00428
2.09646e-06	0.0025	3.49995	0.112762	2.50667	3	0.999986	-4.50433	-1.75217	8.00428
2.18031e-06	0.0026	3.49995	0.113234	2.50667	3	0.999985	-4.50433	-1.75217	8.00428
2.26417e-06	0.0027	3.49995	0.114676	2.50667	3	0.999983	-4.50433	-1.75218	8.00428
2.34803e-06	0.0028	3.49995	0.116298	2.50667	3	0.999982	-4.50433	-1.75218	8.00428
2.43189e-06	0.0029	3.49995	0.11899	2.50667	3	0.999981	-4.50434	-1.75218	8.00428
2.51575e-06	0.003	3.49995	0.119803	2.50667	3	0.999979	-4.50434	-1.75218	8.00428
2.5996e-06	0.0031	3.49995	0.121124	2.50667	3	0.999978	-4.50434	-1.75218	8.00428
2.68346e-06	0.0032	3.49994	0.122422	2.50667	3	0.999976	-4.50434	-1.75218	8.00428
2.76732e-06	0.0033	3.49994	0.124919	2.50667	3	0.999975	-4.50434	-1.75218	8.00428
2.85118e-06	0.0034	3.49994	0.125833	2.50667	3	0.999973	-4.50434	-1.75218	8.00428
2.93504e-06	0.0035	3.49994	0.126679	2.50667	3	0.999972	-4.50434	-1.75219	8.00428
3.0189e-06	0.0036	3.49994	0.128082	2.50667	3	0.99997	-4.50434	-1.75219	8.00428
3.10275e-06	0.0037	3.49994	0.129367	2.50667	3	0.999969	-4.50434	-1.75219	8.00428
3.18661e-06	0.0038	3.49994	0.131483	2.50667	3	0.999967	-4.50435	-1.75219	8.00428
3.27047e-06	0.0039	3.49994	0.132434	2.50667	3	0.999965	-4.50435	-1.75219	8.00428
3.35433e-06	0.004	3.49994	0.13323	2.51333	3	0.999964	-4.50435	-1.75219	8.00428
3.43819e-06	0.0041	3.49994	0.133856	2.51333	3	0.999962	-4.50435	-1.75219	8.00428
3.52204e-06	0.0042	3.49993	0.13455	2.51333	3	0.999961	-4.50435	-1.75219	8.00428
3.6059e-06	0.0043	3.49993	0.135224	2.51333	3	0.999959	-4.50435	-1.7522	8.00428
3.68976e-06	0.0044	3.49993	0.135851	2.51333	3	0.999958	-4.50435	-1.7522	8.00428
3.77362e-06	0.0045	3.49993	0.136445	2.51333	3	0.999956	-4.50435	-1.7522	8.00428
3.85748e-06	0.0046	3.49993	0.137402	2.51333	3	0.999955	-4.50435	-1.7522	8.00428
3.94134e-06	0.0047	3.49993	0.138151	2.51333	3	0.999953	-4.50435	-1.7522	8.00428
4.02519e-06	0.0048	3.49993	0.138802	2.51333	3	0.999951	-4.50435	-1.7522	8.00428
4.10905e-06	0.0049	3.49993	0.139397	2.51333	3	0.99995	-4.50435	-1.7522	8.00428
4.19291e-06	0.005	3.49993	0.139998	2.51333	3	0.999948	-4.50435	-1.7522	8.00428
4.27677e-06	0.0051	3.49993	0.140615	2.51333	3	0.999947	-4.50436	-1.7522	8.00428
4.36063e-06	0.0052	3.49993	0.141233	2.51333	3	0.999945	-4.50436	-1.75221	8.00428
4.44449e-06	0.0053	3.49993	0.141845	2.51333	3	0.999944	-4.50436	-1.75221	8.00428
4.52834e-06	0.0054	3.49993	0.142461	2.51333	3	0.999942	-4.50436	-1.75221	8.00428
4.6122e-06	0.0055	3.49993	0.143096	2.51333	3	0.999941	-4.50436	-1.75221	8.00428
4.69606e-06	0.0056	3.49992	0.144065	2.51333	3	0.999939	-4.50436	-1.75221	8.00428
4.77992e-06	0.0057	3.49992	0.144914	2.51333	3	0.999938	-4.50436	-1.75221	8.00428
4.86378e-06	0.0058	3.49992	0.145663	2.51333	3	0.999937	-4.50436	-1.75221	8.00428
4.94763e-06	0.0059	3.49992	0.146344	2.51333	3	0.999935	-4.50436	-1.75221	8.00428
5.03149e-06	0.006	3.49992	0.147027	2.51333	3	0.999934	-4.50436	-1.75221	8.00428
5.11535e-06	0.0061	3.49992	0.147719	2.51333	3	0.999932	-4.50436	-1.75221	8.00428
5.19921e-06	0.0062	3.49992	0.148396	2.51333	3	0.999931	-4.50436	-1.75222	8.00428
5.28307e-06	0.0063	3.49992	0.149051	2.51333	3	0.999929	-4.50436	-1.75222	8.00428
5.36693e-06	0.0064	3.49992	0.149718	2.51333	3	0.999928	-4.50436	-1.75222	8.00428
5.45078e-06	0.0065	3.49992	0.150724	2.51333	3	0.999926	-4.50436	-1.75222	8.00428
5.53464e-06	0.0066	3.49992	0.151585	2.51333	3	0.999925	-4.50436	-1.75222	8.00428
5.6185e-06	0.0067	3.49992	0.152346	2.51333	3	0.999923	-4.50437	-1.75222	8.00428
5.70236e-06	0.0068	3.49992	0.153046	2.51333	3	0.999922	-4.50437	-1.75222	8.00428
