Time_d	TIME	Height	Neck Radius	Neck_Height	Pinch_Diax	Pinch_Diay	Pinch_Dia_Avg	Pinch_Height
8.38582e-08	0.0001	3.49996	0.0953086	2.50667	3	1	-4.50433	-1.75216	8.00428
1.67716e-07	0.0002	3.49996	0.0983723	2.50667	3	1	-4.50433	-1.75216	8.00428
2.51575e-07	0.0003	3.49996	0.0992083	2.50667	3	1	-4.50433	-1.75216	8.00428
3.35433e-07	0.0004	3.49996	0.0997095	2.50667	3	1	-4.50433	-1.75216	8.00428
4.19291e-07	0.0005	3.49996	0.100212	2.50667	3	1	-4.50433	-1.75216	8.00428
5.03149e-07	0.0006	3.49996	0.100796	2.50667	3	1	-4.50433	-1.75216	8.00428
5.87007e-07	0.0007	3.49996	0.101281	2.50667	3	0.999999	-4.50433	-1.75216	8.00428
6.70866e-07	0.0008	3.49996	0.101787	2.50667	3	0.999999	-4.50433	-1.75216	8.00428
7.54724e-07	0.0009	3.49996	0.102246	2.50667	3	0.999999	-4.50433	-1.75216	8.00428
8.38582e-07	0.001	3.49996	0.102698	2.50667	3	0.999998	-4.50433	-1.75216	8.00428
9.2244e-07	0.0011	3.49996	0.103162	2.50667	3	0.999997	-4.50433	-1.75217	8.00428
1.0063e-06	0.0012	3.49996	0.104402	2.50667	3	0.999996	-4.50433	-1.75217	8.00428
1.09016e-06	0.0013	3.49995	0.105032	2.50667	3	0.999995	-4.50433	-1.75217	8.00428
1.17401e-06	0.0014	3.49995	0.105561	2.50667	3	0.999994	-4.50433	-1.75217	8.00428
1.25787e-06	0.0015	3.49995	0.105981	2.50667	3	0.999993	-4.50433	-1.75217	8.00428
1.34173e-06	0.0016	3.49995	0.106371	2.50667	3	0.999991	-4.50433	-1.75217	8.00428
1.42559e-06	0.0017	3.49995	0.106963	2.50667	3	0.99999	-4.50433	-1.75217	8.00428
1.50945e-06	0.0018	3.49995	0.10811	2.50667	3	0.999988	-4.50434	-1.75217	8.00428
1.59331e-06	0.0019	3.49995	0.109097	2.50667	3	0.999986	-4.50434	-1.75218	8.00428
1.67716e-06	0.002	3.49994	0.109899	2.50667	3	0.999984	-4.50434	-1.75218	8.00428
1.76102e-06	0.0021	3.49994	0.111765	2.50667	3	0.999982	-4.50434	-1.75218	8.00428
1.84488e-06	0.0022	3.49994	0.112378	2.50667	3	0.99998	-4.50434	-1.75218	8.00428
1.92874e-06	0.0023	3.49994	0.11286	2.50667	3	0.999977	-4.50435	-1.75218	8.00428
2.0126e-06	0.0024	3.49994	0.113328	2.50667	3	0.999975	-4.50435	-1.75219	8.00428
2.09646e-06	0.0025	3.49993	0.115215	2.50667	3	0.999972	-4.50435	-1.75219	8.00428
2.18031e-06	0.0026	3.49993	0.118763	2.50667	3	0.99997	-4.50435	-1.75219	8.00428
2.26417e-06	0.0027	3.49993	0.119726	2.50667	3	0.999967	-4.50436	-1.75219	8.00428
2.34803e-06	0.0028	3.49993	0.120982	2.50667	3	0.999964	-4.50436	-1.7522	8.00428
2.43189e-06	0.0029	3.49992	0.122361	2.50667	3	0.999961	-4.50436	-1.7522	8.00428
2.51575e-06	0.003	3.49992	0.124902	2.50667	3	0.999958	-4.50436	-1.7522	8.00428
2.5996e-06	0.0031	3.49992	0.125757	2.50667	3	0.999955	-4.50437	-1.75221	8.00428
2.68346e-06	0.0032	3.49991	0.126556	2.50667	3	0.999952	-4.50437	-1.75221	8.00428
2.76732e-06	0.0033	3.49991	0.127836	2.50667	3	0.999949	-4.50437	-1.75221	8.00428
2.85118e-06	0.0034	3.49991	0.129109	2.50667	3	0.999946	-4.50437	-1.75221	8.00428
2.93504e-06	0.0035	3.49991	0.131253	2.50667	3	0.999943	-4.50438	-1.75222	8.00428
3.0189e-06	0.0036	3.4999	0.13203	2.51333	3	0.99994	-4.50438	-1.75222	8.00428
3.10275e-06	0.0037	3.4999	0.132661	2.51333	3	0.999937	-4.50438	-1.75222	8.00428
3.18661e-06	0.0038	3.4999	0.133225	2.51333	3	0.999934	-4.50438	-1.75222	8.00428
3.27047e-06	0.0039	3.4999	0.133926	2.51333	3	0.999931	-4.50439	-1.75223	8.00428
3.35433e-06	0.004	3.4999	0.134684	2.51333	3	0.999927	-4.50439	-1.75223	8.00428
